case_number,year,country,activity,sex,fatal,fatal_numerica,month,latitude,hemisphere,season
2018.06.25,2018.0,USA,paddling,F,N,0,6,37.09024,North,Summer
2018.06.18,2018.0,USA,,F,N,0,6,37.09024,North,Summer
2018.06.09,2018.0,USA,surfing,M,N,0,6,37.09024,North,Summer
2018.06.08,2018.0,AUSTRALIA,surfing,M,N,0,6,-25.274398,South,Winter
2018.06.04,2018.0,MEXICO,diving,M,N,0,6,23.634501,North,Summer
2018.06.03,2018.0,AUSTRALIA,surfing,M,N,0,6,-25.274398,South,Winter
2018.06.03,2018.0,BRAZIL,swimming,M,Y,1,6,-14.235004,South,Winter
2018.05.27,2018.0,USA,fishing,M,N,0,5,37.09024,North,Spring
2018.05.26,2018.0,USA,,M,N,0,5,37.09024,North,Spring
2018.05.26,2018.0,USA,,M,N,0,5,37.09024,North,Spring
2018.05.24,2018.0,AUSTRALIA,,M,N,0,5,-25.274398,South,Autumn
2018.05.21,2018.0,USA,boarding,M,N,0,5,37.09024,North,Spring
2018.05.13,2018.0,USA,swimming,M,N,0,5,37.09024,North,Spring
2018.05.13,2018.0,UNITED KINGDOM,fishing,M,N,0,5,55.378051,North,Spring
2018.05.00,2018.0,AUSTRALIA,,F,N,0,5,-25.274398,South,Autumn
2018.05.09,2018.0,AUSTRALIA,surfing,M,N,0,5,-25.274398,South,Autumn
2018.04.30,2018.0,THAILAND,swimming,M,N,0,4,15.870032,North,Spring
2018.04.28,2018.0,COSTA RICA,diving,M,N,0,4,9.748917,North,Spring
2018.04.28,2018.0,AUSTRALIA,surfing,M,N,0,4,-25.274398,South,Autumn
2018.04.25,2018.0,AUSTRALIA,surfing,M,N,0,4,-25.274398,South,Autumn
2018.04.25,2018.0,AUSTRALIA,surfing,M,N,0,4,-25.274398,South,Autumn
2018.04.24,2018.0,AUSTRALIA,surfing,M,N,0,4,-25.274398,South,Autumn
2018.04.23,2018.0,MALDIVES,fishing,M,N,0,4,3.202778,North,Spring
2018.04.19,2018.0,USA,boarding,M,N,0,4,37.09024,North,Spring
2018.04.15,2018.0,THAILAND,swimming,M,N,0,4,15.870032,North,Spring
2018.04.15,2018.0,AUSTRALIA,surfing,M,N,0,4,-25.274398,South,Autumn
2018.04.15,2018.0,AUSTRALIA,surfing,M,N,0,4,-25.274398,South,Autumn
2018.04.14,2018.0,BAHAMAS,surfing,M,N,0,4,25.03428,North,Spring
2018.04.10,2018.0,BRAZIL,fishing,M,N,0,4,-14.235004,South,Autumn
2018.04.09,2018.0,NEW CALEDONIA,windsurfing,,N,0,4,-20.904305,South,Autumn
2018.04.05,2018.0,BAHAMAS,swimming,M,N,0,4,25.03428,North,Spring
2018.03.31,2018.0,USA,paddleboarding,M,N,0,3,37.09024,North,Spring
2018.03.14,2018.0,AUSTRALIA,,M,N,0,3,-25.274398,South,Autumn
2018.03.09,2018.0,AUSTRALIA,swimming,M,N,0,3,-25.274398,South,Autumn
2018.03.09,2018.0,AUSTRALIA,surfing,M,N,0,3,-25.274398,South,Autumn
2018.02.23,2018.0,AUSTRALIA,swimming,F,N,0,2,-25.274398,South,Summer
2018.02.17,2018.0,AUSTRALIA,fishing,M,N,0,2,-25.274398,South,Summer
2018.02.15,2018.0,AUSTRALIA,,M,N,0,2,-25.274398,South,Summer
2018.02.14,2018.0,AUSTRALIA,swimming,F,N,0,2,-25.274398,South,Summer
2018.02.11,2018.0,BRAZIL,,F,N,0,2,-14.235004,South,Summer
2018.02.03,2018.0,ECUADOR,snorkeling,M,N,0,2,-1.831239,South,Summer
2018.02.01,2018.0,AUSTRALIA,spearfishing,M,N,0,2,-25.274398,South,Summer
2018.01.28,2018.0,AUSTRALIA,,M,N,0,1,-25.274398,South,Summer
2018.01.21,2018.0,NEW CALEDONIA,spearfishing,M,N,0,1,-20.904305,South,Summer
2018.01.14,2018.0,AUSTRALIA,diving,M,N,0,1,-25.274398,South,Summer
2018.01.13,2018.0,AUSTRALIA,diving,M,N,0,1,-25.274398,South,Summer
2018.01.12,2018.0,BRAZIL,surfing,M,N,0,1,-14.235004,South,Summer
2018.01.05,2018.0,AUSTRALIA,surfing,M,N,0,1,-25.274398,South,Summer
2017.12.31,2017.0,USA,surfing,F,N,0,12,37.09024,North,Winter
2017.12.30,2017.0,USA,surfing,F,N,0,12,37.09024,North,Winter
2017.12.21,2017.0,MALAYSIA,,M,N,0,12,4.210484,North,Winter
2017.12.09,2017.0,BAHAMAS,snorkeling,F,N,0,12,25.03428,North,Winter
2017.11.30,2017.0,COSTA RICA,diving,M,N,0,11,9.748917,North,Autumn
2017.11.30,2017.0,COSTA RICA,diving,F,Y,1,11,9.748917,North,Autumn
2017.11.25,2017.0,LIBYA,,,Y,1,11,26.3351,North,Autumn
2017.11.24,2017.0,USA,spearfishing,M,N,0,11,37.09024,North,Autumn
2017.11.18,2017.0,USA,surfing,F,N,0,11,37.09024,North,Autumn
2017.11.13,2017.0,AUSTRALIA,surfing,M,N,0,11,-25.274398,South,Spring
2017.11.04,2017.0,CUBA,,M,Y,1,11,21.521757,North,Autumn
2017.10.31,2017.0,AUSTRALIA,snorkeling,M,N,0,10,-25.274398,South,Spring
2017.10.28,2017.0,AUSTRALIA,surfing,M,N,0,10,-25.274398,South,Spring
2017.10.26,2017.0,USA,paddleboarding,M,N,0,10,37.09024,North,Autumn
2017.10.23,2017.0,MAURITIUS,swimming,M,N,0,10,-20.348404,South,Spring
2017.10.23,2017.0,USA,surfing,M,N,0,10,37.09024,North,Autumn
2017.10.23,2017.0,USA,swimming,F,N,0,10,37.09024,North,Autumn
2017.10.22,2017.0,AUSTRALIA,,F,N,0,10,-25.274398,South,Spring
2017.10.21,2017.0,NEW ZEALAND,kayaking,M,N,0,10,-40.900557,South,Spring
2017.10.18,2017.0,USA,swimming,M,N,0,10,37.09024,North,Autumn
2017.10.09,2017.0,USA,surfing,M,N,0,10,37.09024,North,Autumn
2017.10.05,2017.0,USA,snorkeling,F,N,0,10,37.09024,North,Autumn
2017.09.25,2017.0,USA,surfing,M,N,0,9,37.09024,North,Autumn
2017.09.25,2017.0,AUSTRALIA,surfing,M,N,0,9,-25.274398,South,Spring
2017.09.24,2017.0,USA,surfing,M,N,0,9,37.09024,North,Autumn
2017.09.20,2017.0,USA,surfing,M,N,0,9,37.09024,North,Autumn
2017.09.16,2017.0,SPAIN,surfing,M,N,0,9,40.463667,North,Autumn
2017.09.16,2017.0,USA,surfing,M,N,0,9,37.09024,North,Autumn
2017.09.15,2017.0,SAMOA,fishing,M,N,0,9,-13.759029,South,Spring
2017.09.14,2017.0,AUSTRALIA,fishing,,N,0,9,-25.274398,South,Spring
2017.09.13,2017.0,USA,surfing,M,N,0,9,37.09024,North,Autumn
2017.09.10,2017.0,AUSTRALIA,swimming,M,N,0,9,-25.274398,South,Spring
2017.09.10,2017.0,AUSTRALIA,surfing,M,N,0,9,-25.274398,South,Spring
2017.09.06,2017.0,SOLOMON ISLANDS,spearfishing,M,N,0,9,-9.64571,South,Spring
2017.09.03,2017.0,JAPAN,surfing,M,N,0,9,36.204824,North,Autumn
2017.09.02,2017.0,USA,swimming,M,N,0,9,37.09024,North,Autumn
2017.09.02,2017.0,USA,swimming,F,N,0,9,37.09024,North,Autumn
2017.09.02,2017.0,USA,surfing,M,N,0,9,37.09024,North,Autumn
2017.08.29,2017.0,AUSTRALIA,surfing,M,N,0,8,-25.274398,South,Winter
2017.08.27,2017.0,USA,,F,N,0,8,37.09024,North,Summer
2017.08.26,2017.0,NEW ZEALAND,canoeing,M,N,0,8,-40.900557,South,Winter
2017.08.23,2017.0,USA,,M,N,0,8,37.09024,North,Summer
2017.08.18,2017.0,BAHAMAS,spearfishing,M,N,0,8,25.03428,North,Summer
